what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594158048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594165947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594171349
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594171354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594191845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594197297
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594197302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594217430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594222068
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594222073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594228406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594231427
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594231431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594237689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594240548
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594240553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594246655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594249882
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594249886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594258321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594261581
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594261586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594268348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594271127
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594271131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594278716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594281514
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594281519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594290336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594293299
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594293303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594300261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594305093
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594305097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594322519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594325481
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363594325487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594330742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594433004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594436955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594447387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594455174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594458107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363594462993
