what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679246737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679251551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679253047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679792569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679793923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679830946
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363679833731
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1363679834199
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1363679834202
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1363679834225
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1363679834227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679839570
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1363679849428
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1363679849478
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1363679849485
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1363679849551
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1363679849594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679849878
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363679849884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363679854413
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1363679865729
