what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683587923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683615140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683625146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683629776
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363683629780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683630377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683652712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683653435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683659159
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363683668257
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363683668321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683671628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683676551
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363683678351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683684576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683689202
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363683689207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683689811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683719669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683720396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683721781
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363683721929
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1363683722562
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1363683722563
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1363683722564
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1363683722565
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1363683722566
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1363683722567
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1363683722569
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1363683722570
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1363683722570
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1363683722571
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1363683722571
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1363683722572
