what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708948187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708953091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708957796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708960606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708964352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708965553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708970119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708972592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708977818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708979291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708982055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708984003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708988405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708994170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363708999501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709007538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709012001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709013419
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709016944
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709017001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709018366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709020408
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363709022209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709030659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709036370
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1363709036375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709036924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709049161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709050187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709050799
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709054526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709054584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709056410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709083199
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363709085086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709085602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709090584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709095438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709097521
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709099860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709099912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709101995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709103530
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1363709103888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709105477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363709109585
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363709111544
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709114870
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363709114926
